//,1,2,3,4,5,6,7
//,Name,Subtype,Gender,Role Bias,Other information,,
,author,admin,potato,,,,
,Talia,person,female,,,,
,Rory,person,male,,,,
,Vincent,person,male,,,,
,Kyle,person,male,,,,
,Heather,person,female,,,,
,John,person,male,,,,
,Michael,person,male,,,,
,Rin,person,female,,,,
,Jisala,person,female,,,,
,Kairen,person,female,,,,
,Shallan,person,female,,,,
,Adolin,person,male,,,,
,Vin,person,female,,,,
,Kaladin,person,male,,,,
,Gargax,monster,male,,,,
,SjaAnat,monster,female,,,,
,Dragon,monster,male,,,,
,Kiithnatal,monster,male,,,,
,Wyvern,monster,male,,,,
,Vraska,monster,female,,,,
,Kuraama,monster,female,,,,
,Faerie,monster,female,,,,
,Bob,creature,male,,,,
,Talia,creature,female,,,,
,Rory,creature,male,,,,
,Vincent,creature,male,,,,
,Kyle,creature,male,,,,
,Heather,creature,female,,,,
,John,creature,male,,,,
,Michael,creature,male,,,,
,Rin,creature,female,,,,
,Jisala,creature,female,,,,
,Kairen,creature,female,,,,
,Shallan,creature,female,,,,
,Adolin,creature,male,,,,
,Vin,creature,female,,,,
,Kaladin,creature,male,,,,
,Gargax,creature,male,,,,
,SjaAnat,creature,female,,,,
,Dragon,creature,male,,,,
,Kiithnatal,creature,male,,,,
,Wyvern,creature,male,,,,
,Vraska,creature,female,,,,
,Kuraama,creature,female,,,,
,Faerie,creature,female,,,,
