//,1,2,3
//,Name,Subtype,
,Sword,weapon,
,Shield,weapon,
,ImprovisedWeapon1,weapon,
,MagicalGlove,weapon,
,MysteriousArmor,weapon,
,UnknownGauntlet,weapon,
,Dagger,weapon,
,BowAndAarrow,weapon,
,Gold,valuable,
,Silver,valuable,
,Treasure,valuable,
,UnknownValuable,valuable,
,UnknownMagicItem,valuable,
,Minerals,valuable,
,RareFoods,valuable,
,MysteriousMap,valuable,
,UnknownCrown,valuable,
,AncientEnergySource,valuable,
,MysteriousTome,mcguffin,
,MysteriousOrb,mcguffin,
,AncientStone,mcguffin,
,WeirdArtifact,mcguffin,
,AncientWeapon,mcguffin,
,AncientArtifact,mcguffin,
,Fork,item,
,Clothing,item,
,Junk,item,
,Sword,item,
,Shield,item,
,ImprovisedWeapon1,item,
,MagicalGlove,item,
,MysteriousArmor,item,
,UnknownGauntlet,item,
,Dagger,item,
,BowAndArrow,item,
,Gold,item,
,Silver,item,
,Treasure,item,
,UnknownValuable,item,
,UnknownMagicItem,item,
,Minerals,item,
,RareFoods,item,
,MysteriousMap,item,
,UnknownCrown,item,
,AncientEnergySource,item,
,MysteriousTome,item,
,MysteriousOrb,item,
,AncientStone,item,
,WeirdArtifact,item,
,AncientWeapon,item,
,AncientArtifact,item,
